Analysis name	Run	Number_correct	Number_incorrect	Accuracy	root_mean_squared_error	mean_squared_error	num_true_pos	num_true_neg	num_false_pos	num_false_neg
TESTTEST	0	11095.0	1644.0	0.8709474841039329	0.08328884546419404	0.08328884546419404	706.0	11543.0	12.0	478.0
TESTTEST	1	22199.0	3279.0	0.8713007300416046	0.08320331647260429	0.08320331647260429	1412.0	23086.0	24.0	956.0
TESTTEST	2	33295.0	4922.0	0.8712091477614674	0.08322660546917915	0.08322660546917915	2118.0	34629.0	36.0	1434.0
TESTTEST	3	44385.0	6571.0	0.8710456079755082	0.08329198465736959	0.08329198465736959	2824.0	46172.0	48.0	1912.0
TESTTEST	4	55478.0	8217.0	0.870994583562289	0.08333074158506597	0.08333074158506597	3530.0	57715.0	60.0	2390.0
