Run	Number_correct	Number_incorrect	Accuracy	root_mean_squared_error	mean_squared_error	num_true_pos	num_true_neg	num_false_pos	num_false_neg
0	11097.0	1642.0	0.8711044822984536	0.08096985033290512	0.08096985033290512	706.0	11543.0	12.0	478.0
1	22181.0	3297.0	0.8705942381662611	0.08103953921973182	0.08103953921973182	1412.0	23086.0	24.0	956.0
2	33261.0	4956.0	0.8703194913258497	0.0811304985111441	0.0811304985111441	2118.0	34629.0	36.0	1434.0
3	44354.0	6602.0	0.8704372399717403	0.08110896363927089	0.08110896363927089	2824.0	46172.0	48.0	1912.0
4	55453.0	8242.0	0.8706020880759872	0.08111484077517908	0.08111484077517908	3530.0	57715.0	60.0	2390.0
