Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary,measureOutOfBagError
BinaryData,1,1,weka.classifiers.rules.ZeroR,'',48055541465867954,2.015111923E7,1729.0,193.0,110.0,83.0,0.0,56.994818652849744,43.005181347150256,0.0,0.0,0.4898573109077704,0.49508965887642686,99.99999999999999,100.0,190.270073394394,190.270073394394,0.0,0.9858553025616269,0.9858553025616269,0.0,0.0,0.0,0.0,1.0,110.0,1.0,83.0,0.0,0.0,0.0,0.0,0.5699481865284974,1.0,0.7260726072607261,0.5,0.5699481865284974,0.5699481865284974,0.43005181347150256,0.43005181347150256,0.3248409353271229,0.5699481865284974,0.4138237657962687,0.5,0.003,0.001,0.002579,0.001348,1219.0,755104.0,145312.0,?,?
BinaryData,1,2,weka.classifiers.rules.ZeroR,'',48055541465867954,2.015111923E7,1729.0,193.0,110.0,83.0,0.0,56.994818652849744,43.005181347150256,0.0,0.0,0.4898573109077704,0.49508965887642686,99.99999999999999,100.0,190.270073394394,190.270073394394,0.0,0.9858553025616269,0.9858553025616269,0.0,0.0,0.0,0.0,1.0,110.0,1.0,83.0,0.0,0.0,0.0,0.0,0.5699481865284974,1.0,0.7260726072607261,0.5,0.5699481865284974,0.5699481865284974,0.43005181347150256,0.43005181347150256,0.3248409353271229,0.5699481865284974,0.4138237657962687,0.5,0.003,0.001,0.002817,7.69E-4,1219.0,755104.0,145312.0,?,?
BinaryData,1,3,weka.classifiers.rules.ZeroR,'',48055541465867954,2.015111923E7,1730.0,192.0,110.0,82.0,0.0,57.291666666666664,42.708333333333336,0.0,0.0,0.489475076982294,0.49465514845102937,100.00000000000001,100.0,189.04428198793943,189.04428198793943,0.0,0.9846056353538511,0.9846056353538511,0.0,0.0,0.0,0.0,1.0,110.0,1.0,82.0,0.0,0.0,0.0,0.0,0.5729166666666666,1.0,0.728476821192053,0.5,0.5729166666666666,0.5729166666666666,0.4270833333333333,0.4270833333333333,0.3282335069444444,0.5729166666666666,0.4173565121412804,0.5,0.004,0.001,0.003246,8.349999999999999E-4,1219.0,755501.0,144915.0,?,?
BinaryData,1,4,weka.classifiers.rules.ZeroR,'',48055541465867954,2.015111923E7,1730.0,192.0,110.0,82.0,0.0,57.291666666666664,42.708333333333336,0.0,0.0,0.489475076982294,0.49465514845102937,100.00000000000001,100.0,189.04428198793943,189.04428198793943,0.0,0.9846056353538511,0.9846056353538511,0.0,0.0,0.0,0.0,1.0,110.0,1.0,82.0,0.0,0.0,0.0,0.0,0.5729166666666666,1.0,0.728476821192053,0.5,0.5729166666666666,0.5729166666666666,0.4270833333333333,0.4270833333333333,0.3282335069444444,0.5729166666666666,0.4173565121412804,0.5,0.001,0.001,9.1E-4,5.380000000000001E-4,1219.0,755501.0,144915.0,?,?
BinaryData,1,5,weka.classifiers.rules.ZeroR,'',48055541465867954,2.015111923E7,1730.0,192.0,110.0,82.0,0.0,57.291666666666664,42.708333333333336,0.0,0.0,0.489475076982294,0.49465514845102937,100.00000000000001,100.0,189.04428198793943,189.04428198793943,0.0,0.9846056353538511,0.9846056353538511,0.0,0.0,0.0,0.0,1.0,110.0,1.0,82.0,0.0,0.0,0.0,0.0,0.5729166666666666,1.0,0.728476821192053,0.5,0.5729166666666666,0.5729166666666666,0.4270833333333333,0.4270833333333333,0.3282335069444444,0.5729166666666666,0.4173565121412804,0.5,0.001,0.0,8.79E-4,5.420000000000001E-4,1219.0,755501.0,144915.0,?,?
BinaryData,1,6,weka.classifiers.rules.ZeroR,'',48055541465867954,2.015111923E7,1730.0,192.0,110.0,82.0,0.0,57.291666666666664,42.708333333333336,0.0,0.0,0.489475076982294,0.49465514845102937,100.00000000000001,100.0,189.04428198793943,189.04428198793943,0.0,0.9846056353538511,0.9846056353538511,0.0,0.0,0.0,0.0,1.0,110.0,1.0,82.0,0.0,0.0,0.0,0.0,0.5729166666666666,1.0,0.728476821192053,0.5,0.5729166666666666,0.5729166666666666,0.4270833333333333,0.4270833333333333,0.3282335069444444,0.5729166666666666,0.4173565121412804,0.5,0.001,0.001,8.42E-4,5.600000000000001E-4,1219.0,755501.0,144915.0,?,?
BinaryData,1,7,weka.classifiers.rules.ZeroR,'',48055541465867954,2.015111923E7,1730.0,192.0,110.0,82.0,0.0,57.291666666666664,42.708333333333336,0.0,0.0,0.489475076982294,0.49465514845102937,100.00000000000001,100.0,189.04428198793943,189.04428198793943,0.0,0.9846056353538511,0.9846056353538511,0.0,0.0,0.0,0.0,1.0,110.0,1.0,82.0,0.0,0.0,0.0,0.0,0.5729166666666666,1.0,0.728476821192053,0.5,0.5729166666666666,0.5729166666666666,0.4270833333333333,0.4270833333333333,0.3282335069444444,0.5729166666666666,0.4173565121412804,0.5,0.001,0.0,6.2E-4,5.05E-4,1219.0,755501.0,144915.0,?,?
BinaryData,1,8,weka.classifiers.rules.ZeroR,'',48055541465867954,2.015111923E7,1730.0,192.0,110.0,82.0,0.0,57.291666666666664,42.708333333333336,0.0,0.0,0.489475076982294,0.49465514845102937,100.00000000000001,100.0,189.04428198793943,189.04428198793943,0.0,0.9846056353538511,0.9846056353538511,0.0,0.0,0.0,0.0,1.0,110.0,1.0,82.0,0.0,0.0,0.0,0.0,0.5729166666666666,1.0,0.728476821192053,0.5,0.5729166666666666,0.5729166666666666,0.4270833333333333,0.4270833333333333,0.3282335069444444,0.5729166666666666,0.4173565121412804,0.5,0.001,0.0,5.96E-4,5.08E-4,1219.0,755501.0,144915.0,?,?
BinaryData,1,9,weka.classifiers.rules.ZeroR,'',48055541465867954,2.015111923E7,1730.0,192.0,110.0,82.0,0.0,57.291666666666664,42.708333333333336,0.0,0.0,0.489475076982294,0.49465514845102937,100.00000000000001,100.0,189.04428198793943,189.04428198793943,0.0,0.9846056353538511,0.9846056353538511,0.0,0.0,0.0,0.0,1.0,110.0,1.0,82.0,0.0,0.0,0.0,0.0,0.5729166666666666,1.0,0.728476821192053,0.5,0.5729166666666666,0.5729166666666666,0.4270833333333333,0.4270833333333333,0.3282335069444444,0.5729166666666666,0.4173565121412804,0.5,0.0,0.001,3.98E-4,5.27E-4,1219.0,755501.0,144915.0,?,?
BinaryData,1,10,weka.classifiers.rules.ZeroR,'',48055541465867954,2.015111923E7,1730.0,192.0,110.0,82.0,0.0,57.291666666666664,42.708333333333336,0.0,0.0,0.489475076982294,0.49465514845102937,100.00000000000001,100.0,189.04428198793943,189.04428198793943,0.0,0.9846056353538511,0.9846056353538511,0.0,0.0,0.0,0.0,1.0,110.0,1.0,82.0,0.0,0.0,0.0,0.0,0.5729166666666666,1.0,0.728476821192053,0.5,0.5729166666666666,0.5729166666666666,0.4270833333333333,0.4270833333333333,0.3282335069444444,0.5729166666666666,0.4173565121412804,0.5,0.001,0.0,1.0499999999999999E-4,4.99E-4,1219.0,755501.0,144915.0,?,?
